Artist,Song Title,Lyrics
Bipul Chettri,Asaar,"[Hook]
पानी पऱ्यो सरर, छाना बज्यो गरर
मनमा उठ्यो आज मेरो आनन्दको लहर
हिजोको बिपना आज भएछ सपना
ए कान्छी, कति चाँडै बितेको यो जीवन
पानी पऱ्यो सरर, भिज्यो कालेबुङ सहर
कालो-कालो बादल चढी फर्की आयो असार, लहै
जिन्दगी कहिले घाम कहिले पानी, लैबरी लै
माया नै सबैभन्दा ठूलो कुरो रैछ नि है
चारैतिर निला-निला आकाश नै छायो है
वरिपरि लागेको यो कुइरो हरायो है
मनलाई साँचो राखी हिँडिँरहेछु
म तिम्रो साहारामै बाँचिरहेछु, मायालु
पानी पऱ्यो सरर, झोडा बग्याे गरर
फर्की आएँ तिम्रैतिर छाडी सारा संसार
हिजोको बिपना आज भएछ सपना
ए कान्छी, कति चाँडै बितेकाे याे जीवन
पानी पऱ्यो सरर, भिज्याे कालेबुङ सहर
कालाे-कालाे बादल चढी फर्की आयाे असार
लैबरी, लैबरी, लैबरी लै, ओ नानी, लैबरी, लैबरी लै
लैबरी, लैबरी, लैबरी लै, ओ नानी, लैबरी, लैबरी लै
लैबरी, लैबरी, लैबरी लै, ओ नानी, लैबरी, लैबरी लै
लैबरी, लैबरी, लैबरी लै, ओ नानी, लैबरी, लैबरी लै
लैबरी, लैबरी, लैबरी लै, ओ नानी, लैबरी, लैबरी लै
लैबरी, लैबरी, लैबरी लै, ओ नानी, लैबरी, लैबरी लै"
Bipul Chettri,Wildfire (Dadhelo),"डढेलो लाग्यो त्यो पारि डाँडा साँझतिर
लौ है, फेरि मनमा मेरो लाग्यो पीर
बतासमा फैलियो आगो सररर
यादहरू तिम्रो फर्केर आयो झललल
बुझाइदेऊ न जलिराने यो मन
पक्डिदेऊ न उडिराने यो मन
बुझाइदेऊ न जलिराने यो मन
पक्डिदेऊ न उडिराने यो मन
चारैतिर अँध्यारो नै, अँध्यारो नै छ
आजसम्म सपनाहरू अधूरो नै छ
कसरी बुझाऊँ यो नबुझ्ने रहरहरू?
दिन र रातझैँ कहिल्यै नमिल्ने सपनाहरू
बुझाइदेऊ न जलिराने यो मन
पक्डिदेऊ न उडिराने यो मन
बुझाइदेऊ न जलिराने यो मन
पक्डिदेऊ न उडिराने यो मन"
Bipul Chettri,Gahiro Gahiro,"गहिरो, गहिरो जीवन सागर यो
तरि नै रहेछु म
बगिरहेको रूखको मुढाझैँ
किनार खोजेछु म
किन-किन हो
आतुर छ मन मेरो
बिरानो, बिरानो
बिरानो लागेछ आज यहाँ
गहिरो, गहिरो...
दिन र रात, दिन र रात यहाँ
खोजि नै रहेछु म
कि मलाई सधैँ माया दिनेहरूलाई
सोधि नै रहेछु म
आफूलाई सँगालेर
खोटहरू मेरो अँगालेर
हिँडेछु, हिँडेछु
हिँडेछु यहाँ सारा छाडेर
किन-किन हो
आतुर छ मन मेरो
बिरानो, बिरानो
बिरानो लागेछ आज यहाँ
गहिरो, गहिरो जीवन सागर यो
तरि नै रहेछु म
बहिरहेको रूखको मुढाझैँ
किनार खोजेछु म"
Bipul Chettri,Aashish,"2 ContributorsAashish Lyrics[Verse 1]
ईन्द्रेनि रङ्गको छ, तिम्रो निर्मल संसार
कमलको फुल झै तिम्रो कमलो मुहार
साना साना पाइला हिडि
ठुला ठुला आशा बोकेर
जगतलाई उज्यालो पार्ने तिम्रो हसाइ
हृदयमा छापिने साँचो तिम्रो हेराइ
तिम्रो खुसीमा नै मेरो खुसीयाली गासिए छ

[Instrumental]

[Verse 2]
जीवनको बाटोमा तिमी सधै अघि बढ
सफलताको सिखर तिमी सधै माथि चढ
जित भए हार दुबैलाई सुइकारेर हिड
अहंकारलाई तिमी कहिले कहिले आफ्नो नबनाउ
अत्याचार कसैको कहिले कहिले नसहनु
सुख भए पनि दुःखलाई नबिर्सि राख्नु

[Instrumental]

[Verse 3]
आशिस मेरो यो तिमी फलिफुलि रहोस्
प्राथना छ मेरो तिमी सधै सुखी रहोस्
अन्धकार माझ उज्यालो दिप नै बनोस्
ममता तिमी हैउ, तिमी नै हैउ लक्ष्मी
सुन्दरता तिमी हैउ, तिमी सबै हैउ छोरी
मेरो खालि होइन संसारकै हउ तिमी रानी
You might also like[Outro]
नाचन है नानी जन्दगीलाई अंगाली बाच है
नाच है तिमी डम्फुको तिमी तालैमा नाच है
पिर आऐ घमले नाच है सुख पाए खुसीले नाच है
नाचन है नानी जन्दगीलाई अंगाली बाच है
नाच है नानी तिमी डम्फुको तिमी तालैमा नाच है
पिर आऐ घमले नाच है सुख पाए खुसीले नाच है
नाचन है नानी जन्दगीलाई अंगाली बाच है
नाच है नानी  तिमी डम्फुको तिमी तालैमा नाच है
पिर आऐ घमले नाच है सुख पाए खुसीले नाच है
नाचन है नानी जन्दगीलाई अंगाली बाच है
नाच है नानी तिमी डम्फुको तिमी तालैमा नाच है
पिर आऐ घमले नाच है सुख पाए खुसीले नाच है
नाचन है नानी जन्दगीलाई अंगाली बाच है
नाच है नानी तिमी डम्फुको तिमी तालैमा नाच है
पिर आऐ घमले नाच है सुख पाए खुसीले नाच हैEmbed"
Bipul Chettri,Ram Sailee - Ode To My Father,"2 ContributorsRam Sailee - Ode To My Father Lyricsराम साइली, म त यौवनको पिरले
गम खाए यसै खोला किनारैमा
राम साइली, म त यौवनको पिरले

गम खाए यसै खोला किनारैमा

ढलपल गर्छन बादल माथी बादलकी रानी
नबिर्सने तिमीलाई टाढा भए पनि
टाढा भए पनि
टाढा भए पनि

राम साइली, म त यौवनको पिरले
गम खाए यसै खोला किनारैमा

चिसो चिसो हावा बग्यो मुटु नै भिज्ने
यसरी नै हो कि मेरो जिन्दगी बित्ने
राम साइली, म त जिन्दगीको खोजमा
गम खाए यसै बिरानो शहरमा

ढलपल गर्छन बादल माथी बादलकी रानी
नबिर्सने तिमीलाई टाढा भए पनि
टाढा भए पनि
टाढा भए पनि

राम साइली, म त यौवनको पिरले
गम खाए यसै खोला किनारैमा
खोला कीनारैमा
खोला कीनारैमाYou might also likeEmbed"
Bipul Chettri,Syndicate,"2 ContributorsSyndicate Lyrics[Intro]
भेट भयो आज हामी सिन्डिकेट्को माझ हामी
उभिएछु तिम्रो बगलमा, बिजि तिमी मोबाइलमा हेरेछु
खेलेको योवन
नाम तिम्रो थाहा छैन तर मलाई पर्वाहा छैन
बोली केही रहेछौ है, आँखाले केही भनिरहेछौ है
बोलु त के भनेर?
डर पनि लाग्छ सोचेर

[Chorus]
तिमी जाने सिलिगुरि, म जाने सिक्किम तिर

[Verse 1]
खुसी छु है तिम्रै माझ भुले सारा संसार आज
तिमी पनि म संग नै जान भए कति रमाइलो
हुने थियो भन्न त
कस्तो यो मिलन हाम्रो? बीस मिनेटको सम्बन्ध हाम्रो
पाएर पनि नपाए जस्तो, चिनेर पनि न चिने जस्तो
जिन्दगी यस्तै नै हो र?
आफ्नै बाटो त जानू छदै छर

[Chorus]
तिमी जाने सिलिगुरि, म जाने सिक्किम तिर

[Verse 2]
मलाई नै हेरेको झै लाग्छ घरी घरि (हेरे लाग्छ घरिघरि)
फर्की हेर्छु म पनि आशा सरि (हुउ, आशा सरि)
मनमा सोच्दै म रमाउद छु (मनमा सोच्दै म रमाउद छु)
तिमीसंगै भएको कल्पना गर्छु (कल्पना गर्छुउ)
[Hook]
कस्तो धर्के पानी पर्यो, भिजेर म चुर भए
तिमी संगै ओत लागि आफ्नो गाडी पर्खिरहे
भिजेछु आज म रहरले

[Outro]
सबै गाडी चद्न थाल्यो कमाण्डर को हर्न सुनी
कलिम्पोङ टु सिलागुरी, भन तिमी कस्तो निस्ठुरी
चडेर गयो कता तिर
छाडी राख्यौ मलाई यतै तिर
हुउ, तिमी जाने सिलिगुरि, म जाने सिक्किम तिर
तिमी जाने सिलिगुरि, म जाने सिक्किम तिर
तिमी जाने सिलिगुरि, म जाने सिक्किम तिरEmbed"
Bipul Chettri,Mountain High,"3 ContributorsMountain High Lyricsहे...
अाकाशलाई छुने, संसारलाई ढाक्ने
विशाल तिम्रो डाल

हे...
उडेको बादलले, छोपेको तिम्रो मुहार
लजाउने तिम्रो चाल
हजारौँ छ तिम्रो रुप, मननै नमेटिने
जति हेरेपनि
राखेछौ अँगालोमा लिएर, साथमै तिमीले
हामीलाई जुनि जुनि
Home, home calling home
Home, home calling home
हे...
लिएर के जानुछ, सबै मोह मायामा यहाँ अल्जेछ
चाहिने हामिलाई कति हो
संगै संगै मिलि जुल्न लेखेकै हाम्रो छ
नबुझ्नेले नबुझेपछि
त्यो मेरो भन्दै भए सबै बर्बाद
याद अाउँछ तिम्रो याद
अब त यस्तै छ मेरो हाल
मै माया भन्दै अाउँदैछ तिम्रो याद
You might also like(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)
Home, home calling home
(ॐ मानी पाद्मे हुम)Embed"
Bipul Chettri,Deorali Darah,"4 ContributorsDeorali Darah Lyricsदेउराली डाँडाको शीतल हावामा
सारा जंगलनै नाच्यो है
तिमी बिनाको जीन्दगानी

म कसरी नै त काटुँ है

रेलमा चढी म जानेछु टाढा
छाडी यो सबै यो संसार
आउने दिनको आशा राखि
म अघि बढेछु त्यो पारि
जीउन फेरि मन लाग्यो
आ हा हा
आ हा हा

जति हिँडे उति टाढा लाग्छ पुग्न त्यहाँ
हेर न दिन ढलिसक्यो
तिम्रै कल्पनाको समुन्द्रमा डुबिरहने
कस्तो यो मनको खाँचो
अब त पुग्ने छ मेरो यो इच्छा
अब त पाउनेछु गरेको प्रतिक्षा
माया

दुनियाको यो मोह मायामा
मलाई धेरै नअल्झाउ है
एउटै भएको जीन्दगानी
म जसरी नै त काटुँ है
रेलमा चढी म जानेछु टाढा
छाडी यो सबै यो घर-बार
तिमीलाई पाउने आशा राखि
म अघि बढेछु त्यो पारि
जीउन फेरि मन लाग्यो
आ हा हा
आ हा हा
You might also likeलाग्यो जीउन मन अब
आ हा हा
आ हा हा1Embed"
Bipul Chettri,Junkeri,"1 ContributorJunkeri Lyricsआकाशैमा तारा, जुनेली रात
कलकल खोला बगेको,
तिमी र म, बसि हेरि रहे,

जुनकिरी नाचेको,
आशै आशमा
हिडिरहेछु म आज
पाउन के छ र
भागी जाउँ तिमी र म
संसारको रित यस्तै नै हो
सबै छाडि जाने नै हो
व्यर्थको कुरामा अल्झी बसि
जिन्दगी बिताउने पो हो
उड्न त मन लाग्छ
जाने त हो कता
हा हा हा
पाउन यहाँ के छ र
छाडी राखी जाउँ तिमी म...
हे हे आ आ

आजको यो रात फेरी मलाई
रहरले बिउँझायो
कल्पनाहरु मेरो आँखाभरी
जुनकिरी बनि छायो
यो मिठो रात यतै
बसिदे भए हुन्थ्यो
आ आ

बिहानी आउनु अघि
भागी जाउँ तिमी र म

तिमी म।।।।Embed"
Bipul Chettri,Müghlan,"2 ContributorsMüghlan Lyrics[Intro]
कसलाई म के भन्ने?
कसले के बुझ्ने?
कसले के गर्ने?

[Chorus]
ज्युन यहाँ गाह्रो भो
काम गरि खान यहा साह्रो भो
कस्तो यो कर्म मेरो?
भाग्य रैछ यस्तै हाम्रो

[Verse 1]
आहै, काम गरि खान साह्रो भो
आफ्नो देश छाडेर लागेछु म है बिदेशतिर
आफ्नो देश छाडेर लागेछु म है पर्देशतिर

[Chorus]
कस्तो यो कर्म मेरो?
भाग्य रैछ यस्तै हाम्रो
आहै, म लागे विदेश तिर (लहै)

[Guitar Solo]

[Bridge]
नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा
गाउँ घर छाडेर (पस्यो कान्छा)
नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा
गाउँ घर छाडेर (पस्यो कान्छा)
नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा
गाउँ घर छाडेर (पस्यो कान्छा)
You might also like[Verse 2]
विदेश त गए नि आफ्नो ठाउँ भने आफ्नै रैछ नि
जे जति नै भए नि आफ्नो ठाउँ भने आफ्नै रैछ नि

[Chorus]
कस्तो यो कर्म मेरो?
भाग्य रैछ यस्तै हाम्रो
आफ्नो ठाउँ आफ्नै रैछ नि

[Verse 3]
फर्कन त मन लाग्छ, देशको हाल सोची डर लाग्छ
फर्कन त मन लाग्छ, फर्की के गरुँ भनि डर लाग्छ

[Chorus]
कस्तो यो कर्म मेरो?
भाग्य रैछ यस्तै हाम्रो
के गरु भनि डर लाग्छ

[Verse 3]
येस्तै छ यो कथा कान्छा दाईको व्यथा
जुनी-जुनी देखि येस्तै नै अवस्था
येस्तै छ यो कथा कान्छा दाईको व्यथा
(नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा, गाउँ घर छाडेर)
जुनी-जुनी देखि येस्तै नै अवस्था
(नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा, गाउँ घर छाडेर)
येस्तै छ यो कथा कान्छा दाईको व्यथा
(नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा, गाउँ घर छाडेर)
जुनी-जुनी देखि येस्तै नै अवस्था
(नौ डाँडा काटेर मुग्लानमा पस्यो कान्छा, गाउँ घर छाडेर पस्यो कान्छा)1Embed"
